model,manufacturer,release_date,power_draw_value,power_draw_unit,max_throughput_value,max_throughput_unit
SG250-10P,Cisco,2015-06-30,13.25,W,20.0,Gbps
SG300-10,Cisco,2010-08-01,10.33,W,20.0,Gbps
SG350-10,Cisco,2015-06-30,9.0,W,20.0,Gbps
SG350-10MP,Cisco,2015-06-30,13.2,W,20.0,Gbps
SG350-10P,Cisco,2015-06-30,13.0,W,20.0,Gbps
SG350-28,Cisco,2015-06-30,19.7,W,56.0,Gbps
SG350-28SFP,Cisco,2015-06-30,32.0,W,56.0,Gbps
SG350X-24P,Cisco,2015-06-30,48.8,W,128.0,Gbps
SG350X-48P,Cisco,2015-06-30,76.1,W,176.0,Gbps
SG350XG-24T,Cisco,2015-06-30,146.7,W,480.0,Gbps
ISR4321,Cisco,2014-09-16,36.0,W,1.5,Gbps
ISR4331,Cisco,2014-09-16,42.0,W,2.0,Gbps
ISR4351,Cisco,2014-09-16,48.0,W,2.0,Gbps
ISR4431,Cisco,2014-09-16,65.0,W,1.0,Gbps
ISR4451-X,Cisco,2014-09-16,158.0,W,4.0,Gbps
SG550X-24,Cisco,2015-06-20,33.5,W,128.0,Gbps
SG550X-24MP,Cisco,2015-06-20,53.8,W,128.0,Gbps
SG550X-24P,Cisco,2015-06-20,49.4,W,128.0,Gbps
SG550X-48,Cisco,2015-06-20,52.0,W,176.0,Gbps
SG550X-48P,Cisco,2015-06-20,76.3,W,176.0,Gbps
SG550XG-24F,Cisco,2015-06-20,76.6,W,480.0,Gbps
Aironet 1832I-E,Cisco,2015-09-09,15.4,W,1.0,Gbps
Aironet 2602I-A,Cisco,2012-08-03,12.95,W,450.0,Mbps
Aironet 2602I-B,Cisco,2012-08-03,12.95,W,450.0,Mbps
Aironet 2802E-B,Cisco,2016-02-09,20.0,W,5.2,Gbps
Aironet 2802E-E,Cisco,2016-02-09,20.0,W,5.2,Gbps
Aironet 2802I-B,Cisco,2016-02-09,20.0,W,5.2,Gbps
Aironet 2802I-E,Cisco,2016-02-09,20.0,W,5.2,Gbps
Aironet 3602I-B,Cisco,2011-10-03,15.4,W,450.0,Mbps
Aironet 3702E-B,Cisco,2013-09-27,16.1,W,1.3,Gbps
Aironet 3702I-A,Cisco,2013-09-27,16.1,W,1.3,Gbps
Aironet 3702I-B,Cisco,2013-09-27,15.4,W,1.3,Gbps
ASR-9001,Cisco,2011-09-09,425.0,W,120.0,Gbps
ASR-9901,Cisco,2008-11-11,850.0,W,456.0,Gbps
ASR-920-12CZ-A,Cisco,2014-06-30,80.0,W,10.0,Gbps
ASR-920-12CZ-D,Cisco,2014-06-30,80.0,W,10.0,Gbps
ASR-920-24SZ,Cisco,2014-06-30,130.0,W,200.0,Gbps
ASR-920-24SZ-M,Cisco,2014-06-30,110.0,W,10.0,Gbps
ASR-920-4SZ-A,Cisco,2014-06-30,75.0,W,10.0,Gbps
CBS350-16T-2G,Cisco,2015-06-30,18.63,W,36.0,Gbps
CBS350-24P-4G,Cisco,2015-06-30,33.09,W,56.0,Gbps
CBS350-48FP-4G,Cisco,2015-06-30,73.79,W,104.0,Gbps
CBS350-48FP-4X,Cisco,2015-06-30,76.18,W,176.0,Gbps
CBS350-48P-4G,Cisco,2015-06-30,60.77,W,104.0,Gbps
CBS350-48P-4X,Cisco,2015-06-30,61.53,W,176.0,Gbps
CBS350-8P-E-2G,Cisco,2015-06-30,13.84,W,20.0,Gbps
Catalyst 1000-16FP-2G-L,Cisco,2019-11-04,15.96,W,36.0,Gbps
Catalyst 1000-16P-2G-L,Cisco,2019-11-04,15.88,W,36.0,Gbps
Catalyst 1000-16P-E-2G-L,Cisco,2019-11-04,15.88,W,36.0,Gbps
Catalyst 1000-16T-2G-L,Cisco,2019-11-04,15.88,W,36.0,Gbps
Catalyst 1000-16T-E-2G-L,Cisco,2019-11-04,15.84,W,36.0,Gbps
Catalyst 1000-24FP-4G-L,Cisco,2019-11-04,22.49,W,104.0,Gbps
Catalyst 1000-24FP-4X-L,Cisco,2019-11-04,15.88,W,128.0,Gbps
Catalyst 1000-24P-4G-L,Cisco,2019-11-04,15.88,W,104.0,Gbps
Catalyst 1000-24P-4X-L,Cisco,2019-11-04,15.88,W,128.0,Gbps
Catalyst 1000-24T-4G-L,Cisco,2019-11-04,15.88,W,56.0,Gbps
Catalyst 1000-24T-4X-L,Cisco,2019-11-04,15.88,W,128.0,Gbps
Catalyst 1000-48FP-4G-L,Cisco,2019-11-04,45.81,W,176.0,Gbps
Catalyst 1000-48FP-4X-L,Cisco,2019-11-04,45.81,W,176.0,Gbps
Catalyst 1000-48P-4G-L,Cisco,2019-11-04,40.87,W,104.0,Gbps
Catalyst 1000-48P-4X-L,Cisco,2019-11-04,45.81,W,176.0,Gbps
Catalyst 1000-48T-4G-L,Cisco,2019-11-04,22.49,W,104.0,Gbps
Catalyst 1000-48T-4X-L,Cisco,2019-11-04,15.88,W,176.0,Gbps
Catalyst 1000-8FP-2G-L,Cisco,2019-11-04,14.12,W,20.0,Gbps
Catalyst 1000-8FP-E-2G-L,Cisco,2019-11-04,14.12,W,20.0,Gbps
Catalyst 1000-8P-2G-L,Cisco,2019-11-04,14.12,W,20.0,Gbps
Catalyst 1000-8P-E-2G-L,Cisco,2019-11-04,14.12,W,20.0,Gbps
Catalyst 1000-8T-2G-L,Cisco,2019-11-04,14.12,W,20.0,Gbps
Catalyst 1000-8T-E-2G-L,Cisco,2019-11-04,14.12,W,20.0,Gbps
Catalyst 1000FE-24P-4G-L,Cisco,2019-11-04,16.04,W,12.8,Gbps
Catalyst 1000FE-24T-4G-L,Cisco,2019-11-04,13.73,W,12.8,Gbps
Catalyst 1000FE-48P-4G-L,Cisco,2019-11-04,22.49,W,8.8,Gbps
Catalyst 1000FE-48T-4G-L,Cisco,2019-11-04,13.73,W,8.8,Gbps
WS-C2960L-16PS-JP,Cisco,2016-08-23,21.3,W,36.0,Gbps
WS-C2960L-16PS-LL,Cisco,2016-08-23,21.3,W,36.0,Gbps
WS-C2960L-24TS-LL,Cisco,2016-08-23,21.06,W,56.0,Gbps
Catalyst 2960S-48TS-L,Cisco,2010-03-26,50.0,W,176.0,Gbps
WS-C2960X-24TS-LL,Cisco,2013-05-24,32.0,W,100.0,Gbps
Catalyst 2960XR-24TD-I,Cisco,2013-06-28,37.3,W,216.0,Gbps
Catalyst WS-C3560CG-8TC-S,Cisco,2014-12-01,20.0,W,10.0,Gbps
Catalyst 3560X-24P,Cisco,2010-03-15,93.0,W,160.0,Gbps
Catalyst 3560X-24T-S,Cisco,2010-03-15,93.0,W,160.0,Gbps
Catalyst 3560X-48PF-S,Cisco,2010-03-15,136.2,W,160.0,Gbps
Catalyst 3560X-48T-S,Cisco,2010-03-15,119.7,W,160.0,Gbps
WS-C3560X-48P-S,Cisco,2010-03-15,133.6,W,160.0,Gbps
Catalyst 3650-12X48UR,Cisco,2013-09-01,184.9,W,472.0,Gbps
Catalyst 3650-24FD-L,Cisco,2013-09-01,105.03,W,392.0,Gbps
Catalyst 3650-24PD-L,Cisco,2013-09-01,68.45,W,272.0,Gbps
Catalyst 3650-24PD-S,Cisco,2013-09-01,67.75,W,392.0,Gbps
Catalyst 3650-24PDM-L,Cisco,2013-09-01,71.9,W,92.0,Gbps
Catalyst 3650-24PS,Cisco,2013-09-01,64.18,W,92.0,Gbps
Catalyst 3650-24PS-L,Cisco,2013-09-01,88.4,W,392.0,Gbps
Catalyst 3650-24TD-L,Cisco,2013-09-01,60.35,W,92.0,Gbps
Catalyst 3650-24TS,Cisco,2013-09-01,55.21,W,92.0,Gbps
Catalyst 3650-24TS-L,Cisco,2013-09-01,88.4,W,392.0,Gbps
Catalyst 3650-48FD-E,Cisco,2013-09-01,105.03,W,392.0,Gbps
Catalyst 3650-48FD-L,Cisco,2013-09-01,105.03,W,392.0,Gbps
Catalyst 3650-48FD-S,Cisco,2013-09-01,105.03,W,392.0,Gbps
Catalyst 3650-48FQ-E,Cisco,2013-09-01,88.4,W,392.0,Gbps
Catalyst 3650-48FQ-L,Cisco,2013-09-01,88.4,W,392.0,Gbps
Catalyst 3650-48FQ-S,Cisco,2013-09-01,88.4,W,392.0,Gbps
Catalyst 3650-48FQM-E,Cisco,2013-09-01,88.4,W,392.0,Gbps
Catalyst 3650-48FQM-L,Cisco,2013-09-01,88.4,W,392.0,Gbps
Catalyst 3650-48FQM-S,Cisco,2013-09-01,88.4,W,392.0,Gbps
Catalyst 3650-48FS-L,Cisco,2013-09-01,88.4,W,392.0,Gbps
Catalyst 3650-48PD,Cisco,2013-09-01,97.45,W,392.0,Gbps
Catalyst 3650-48PD-E,Cisco,2013-09-01,97.45,W,176.0,Gbps
Catalyst 3650-48PD-L,Cisco,2013-09-01,97.45,W,176.0,Gbps
Catalyst 3650-48PQ-E,Cisco,2013-09-01,102.1,W,392.0,Gbps
Catalyst 3650-48PQ-L,Cisco,2013-09-01,102.1,W,392.0,Gbps
Catalyst 3650-48PQ-S,Cisco,2013-09-01,102.1,W,392.0,Gbps
Catalyst 3650-48PS,Cisco,2013-09-01,97.09,W,176.0,Gbps
Catalyst 3650-48PS-L,Cisco,2013-09-01,88.4,W,392.0,Gbps
Catalyst 3650-48TD-E,Cisco,2013-09-01,89.4,W,176.0,Gbps
Catalyst 3650-48TD-L,Cisco,2013-09-01,89.4,W,176.0,Gbps
Catalyst 3650-48TD-S,Cisco,2013-09-01,89.4,W,176.0,Gbps
Catalyst 3650-48TQ-E,Cisco,2013-09-01,88.4,W,392.0,Gbps
Catalyst 3650-48TS-L,Cisco,2013-09-01,82.85,W,176.0,Gbps
Catalyst C3650-12X48UQ,Cisco,2013-09-01,179.7,W,392.0,Gbps
Catalyst 3850-24XS-S,Cisco,2013-01-10,187.2,W,640.0,Gbps
Catalyst 3850-48XS-E,Cisco,2013-01-10,270.1,W,1280.0,Gbps
Catalyst C4500X-16SFP+,Cisco,2012-01-23,330.0,W,800.0,Gbps
Catalyst C4500X-32SFP+,Cisco,2012-01-23,330.0,W,800.0,Gbps
Catalyst 8500L-8S4X,Cisco,2021-01-25,64.0,dBA,39.0,Gbps
Catalyst 9200-24P,Cisco,2018-11-13,53.14,W,128.0,Gbps
Catalyst 9200-24T,Cisco,2018-11-13,41.2,W,128.0,Gbps
Catalyst 9200-48P,Cisco,2018-11-13,56.45,W,176.0,Gbps
Catalyst 9200-48T,Cisco,2018-11-13,36.98,W,176.0,Gbps
Catalyst 9200L-24P-4G,Cisco,2018-11-13,39.59,W,56.0,Gbps
Catalyst 9200L-24P-4G-E,Cisco,2018-11-13,39.59,W,56.0,Gbps
Catalyst 9200L-24P-4X,Cisco,2018-11-13,40.17,W,128.0,Gbps
Catalyst 9200L-24PXG-2Y,Cisco,2018-11-13,83.35,W,292.0,Gbps
Catalyst 9200L-24T-4G,Cisco,2018-11-13,35.546,W,56.0,Gbps
Catalyst 9200L-24T-4X,Cisco,2018-11-13,36.485,W,128.0,Gbps
Catalyst 9200L-48P-4G,Cisco,2018-11-13,45.82,W,104.0,Gbps
Catalyst 9200L-48P-4G-E,Cisco,2018-11-13,45.82,W,104.0,Gbps
Catalyst 9200L-48P-4X,Cisco,2018-11-13,50.31,W,176.0,Gbps
Catalyst 9200L-48PL-4G,Cisco,2018-11-13,39.59,W,184.0,Gbps
Catalyst 9200L-48PXG-2Y,Cisco,2018-11-13,71.45,W,340.0,Gbps
Catalyst 9200L-48T-4G,Cisco,2018-11-13,33.85,W,104.0,Gbps
Catalyst 9200L-48T-4X,Cisco,2018-11-13,36.08,W,176.0,Gbps
Catalyst C9200CX-12P-2X2G,Cisco,2018-11-13,39.2,W,68.0,Gbps
Catalyst C9200CX-12P-2XGH,Cisco,2018-11-13,39.1,W,68.0,Gbps
Catalyst C9200CX-12T-2X2G,Cisco,2018-11-13,24.7,W,70.0,Gbps
Catalyst 9300-24P,Cisco,2017-06-20,93.7,W,688.0,Gbps
