router_id,router_model,mean_power_PSU1,mean_power_PSU2,median_power_PSU1,median_power_PSU2,PSU_capacity,efficiency_PSU1,efficiency_PSU2,inlet_temperature,load_PSU1,load_PSU2
swiFN1,NCS-55A1-24H,191.17147608947693,180.41171993258817,191.02064411,180.411,1100,0.8087912087912089,0.8394793926247289,,0.1736551310090909,0.16401
swiWY1,NCS-55A1-24H,194.31095991183204,165.75001195108712,194.311,165.499,1100,0.878524945770065,0.922218779051751,,0.17664636363636363,0.15045363636363637
swiES3,NCS-55A1-24H,191.89017288744185,166.70428020902258,191.782,164.063,1100,0.9387308533916848,0.8571428571428571,,0.17434727272727274,0.14914818181818182
swiUS1,NCS-55A1-24H,180.73650893582365,167.8418511359731,180.95093044,167.87391570000003,1100,0.872844827586207,0.7901498929336189,,0.16450084585454547,0.15261265063636367
swiTR3,NCS-55A1-24H,212.9743443806698,180.2485036975706,213.636,180.261267815,1100,0.8830409356725146,0.869098712446352,,0.19421454545454545,0.16387387983181817
swiOT3,NCS-55A1-24H,200.6548569263918,178.074674311476,200.812,178.068,1100,0.9159420289855073,0.9190371991247264,,0.18255636363636366,0.16188000000000002
swiAI1,NCS-55A1-24H,197.73155714364464,172.44012901315494,197.75,172.5,1100,0.8694690265486724,0.8869565217391305,,0.17977272727272728,0.15681818181818183
swiNE3,NCS-55A1-24H,168.6438930492368,186.11195019189373,168.371,188.30884906,1100,0.8944099378881988,0.9090909090909092,,0.15306454545454545,0.1711898627818182
swiWG3,NCS-55A1-24H,188.2772427651934,171.405828345807,185.542,171.375,1100,0.9584245076586432,0.8796498905908097,,0.16867454545454547,0.15579545454545454
swiUN55,NCS-55A1-24H,186.34423514713345,165.01958560052265,186.303,165.074746505,1100,0.9142212189616252,0.901863354037267,,0.16936636363636362,0.15006795136818182
swiWP2,ASR-920-24SZ-M,34.00845771805995,36.03937969918673,34.0,36.0,250,0.7647058823529411,0.6666666666666666,40.0,0.136,0.144
swiKI1,ASR-920-24SZ-M,37.0,36.0,37.0,36.0,250,0.972972972972973,0.7222222222222222,44.0,0.148,0.144
swiGR1,ASR-920-24SZ-M,39.0426378414648,38.30367376106075,39.0,38.0,250,0.9230769230769232,0.9230769230769232,40.0,0.156,0.152
swiCH1,ASR-920-24SZ-M,33.12996050911681,37.99999608578791,33.0,38.0,250,0.7058823529411765,1.0,38.0,0.132,0.152
swiZV1,ASR-920-24SZ-M,35.43453584480058,36.9998190668561,35.17371352,37.0,250,0.7428571428571429,0.972972972972973,37.0,0.14069485408,0.148
swiLK1,ASR-920-24SZ-M,31.012310612941807,44.91325889035836,31.0,45.0,250,0.8387096774193549,0.8181818181818182,42.0,0.124,0.18
